timestamp,buffer_voltage_mv,resistance,pwr_pw
1722515837759,44,1000000,1936
1722515837763,43,1000000,1849
1722515837767,42,1000000,1764
1722515837772,42,1000000,1764
1722515837776,43,1000000,1849
1722515837780,44,1000000,1936
1722515837784,43,1000000,1849
1722515837788,42,1000000,1764
1722515837792,42,1000000,1764
1722515837796,43,1000000,1849
1722515837800,44,1000000,1936
1722515837804,43,1000000,1849
1722515837808,42,1000000,1764
1722515837811,42,1000000,1764
1722515837816,43,1000000,1849
1722515837820,45,1000000,2025
1722515837824,43,1000000,1849
1722515837828,42,1000000,1764
1722515837832,42,1000000,1764
1722515837836,43,1000000,1849
1722515837840,44,1000000,1936
1722515837844,43,1000000,1849
1722515837848,42,1000000,1764
1722515837852,42,1000000,1764
1722515837857,43,1000000,1849
1722515837861,44,1000000,1936
1722515837865,43,1000000,1849
1722515837869,43,1000000,1849
1722515837873,42,1000000,1764
1722515837876,44,1000000,1936
1722515837880,44,1000000,1936
1722515837884,43,1000000,1849
1722515837888,42,1000000,1764
1722515837892,42,1000000,1764
1722515837896,43,1000000,1849
1722515837901,44,1000000,1936
1722515837905,43,1000000,1849
1722515837909,42,1000000,1764
1722515837913,42,1000000,1764
1722515837917,44,1000000,1936
1722515837921,44,1000000,1936
1722515837925,43,1000000,1849
1722515837929,42,1000000,1764
1722515837933,42,1000000,1764
1722515837937,44,1000000,1936
1722515837941,43,1000000,1849
1722515837944,43,1000000,1849
1722515837949,43,1000000,1849
1722515837953,43,1000000,1849
1722515837957,44,1000000,1936
1722515837961,43,1000000,1849
1722515837965,43,1000000,1849
1722515837969,42,1000000,1764
1722515837973,42,1000000,1764
1722515837977,45,1000000,2025
1722515837982,44,1000000,1936
1722515837986,43,1000000,1849
1722515837990,43,1000000,1849
1722515837994,42,1000000,1764
1722515837998,44,1000000,1936
1722515838002,43,1000000,1849
1722515838006,43,1000000,1849
1722515838010,42,1000000,1764
1722515838013,43,1000000,1849
1722515838017,44,1000000,1936
1722515838021,44,1000000,1936
1722515838026,43,1000000,1849
1722515838030,42,1000000,1764
1722515838034,42,1000000,1764
1722515838038,45,1000000,2025
1722515838042,43,1000000,1849
1722515838046,43,1000000,1849
1722515838050,43,1000000,1849
1722515838054,43,1000000,1849
1722515838058,45,1000000,2025
1722515838063,43,1000000,1849
1722515838067,43,1000000,1849
1722515838071,43,1000000,1849
1722515838074,43,1000000,1849
1722515838078,45,1000000,2025
1722515838082,43,1000000,1849
1722515838086,43,1000000,1849
1722515838090,43,1000000,1849
1722515838094,43,1000000,1849
1722515838099,45,1000000,2025
1722515838103,43,1000000,1849
1722515838107,43,1000000,1849
1722515838111,42,1000000,1764
1722515838115,43,1000000,1849
1722515838118,44,1000000,1936
1722515838122,43,1000000,1849
1722515838126,43,1000000,1849
1722515838131,43,1000000,1849
1722515838135,43,1000000,1849
1722515838139,45,1000000,2025
1722515838143,43,1000000,1849
1722515838147,42,1000000,1764
1722515838151,43,1000000,1849
1722515838155,43,1000000,1849
1722515838159,45,1000000,2025
1722515838164,43,1000000,1849
1722515838167,43,1000000,1849
1722515838171,43,1000000,1849
1722515838175,42,1000000,1764
1722515838179,45,1000000,2025
1722515838183,43,1000000,1849
1722515838186,43,1000000,1849
1722515838191,42,1000000,1764
1722515838195,43,1000000,1849
1722515838199,45,1000000,2025
1722515838203,43,1000000,1849
1722515838207,42,1000000,1764
1722515838211,42,1000000,1764
1722515838214,43,1000000,1849
1722515838218,45,1000000,2025
1722515838222,43,1000000,1849
1722515838227,43,1000000,1849
1722515838231,42,1000000,1764
1722515838235,43,1000000,1849
1722515838239,45,1000000,2025
1722515838243,43,1000000,1849
1722515838247,42,1000000,1764
1722515838251,42,1000000,1764
1722515838256,43,1000000,1849
1722515838259,45,1000000,2025
1722515838263,43,1000000,1849
1722515838267,43,1000000,1849
1722515838271,43,1000000,1849
1722515838275,43,1000000,1849
1722515838279,45,1000000,2025
1722515838283,43,1000000,1849
1722515838287,42,1000000,1764
1722515838291,42,1000000,1764
1722515838296,43,1000000,1849
1722515838300,44,1000000,1936
1722515838304,43,1000000,1849
1722515838307,43,1000000,1849
1722515838311,42,1000000,1764
1722515838315,43,1000000,1849
1722515838319,44,1000000,1936
1722515838324,43,1000000,1849
1722515838328,42,1000000,1764
1722515838332,42,1000000,1764
1722515838336,43,1000000,1849
1722515838340,44,1000000,1936
1722515838344,43,1000000,1849
1722515838348,42,1000000,1764
1722515838352,42,1000000,1764
1722515838356,43,1000000,1849
1722515838361,44,1000000,1936
1722515838364,43,1000000,1849
1722515838368,42,1000000,1764
1722515838372,42,1000000,1764
1722515838376,43,1000000,1849
1722515838380,45,1000000,2025
1722515838384,43,1000000,1849
1722515838389,42,1000000,1764
1722515838393,42,1000000,1764
1722515838397,43,1000000,1849
1722515838401,44,1000000,1936
1722515838405,43,1000000,1849
1722515838409,42,1000000,1764
1722515838412,42,1000000,1764
1722515838416,44,1000000,1936
1722515838420,44,1000000,1936
1722515838424,43,1000000,1849
1722515838429,42,1000000,1764
1722515838433,42,1000000,1764
1722515838437,43,1000000,1849
1722515838441,44,1000000,1936
1722515838445,43,1000000,1849
1722515838449,42,1000000,1764
