timestamp,buffer_voltage_mv,resistance,pwr_pw
1722516667270,43,1000000,1849
1722516667274,42,1000000,1764
1722516667278,43,1000000,1849
1722516667283,44,1000000,1936
1722516667287,43,1000000,1849
1722516667291,43,1000000,1849
1722516667295,42,1000000,1764
1722516667299,43,1000000,1849
1722516667303,45,1000000,2025
1722516667307,44,1000000,1936
1722516667310,43,1000000,1849
1722516667314,43,1000000,1849
1722516667318,43,1000000,1849
1722516667323,45,1000000,2025
1722516667327,43,1000000,1849
1722516667331,43,1000000,1849
1722516667335,43,1000000,1849
1722516667339,43,1000000,1849
1722516667343,45,1000000,2025
1722516667347,43,1000000,1849
1722516667350,43,1000000,1849
1722516667354,43,1000000,1849
1722516667358,42,1000000,1764
1722516667362,45,1000000,2025
1722516667366,43,1000000,1849
1722516667370,43,1000000,1849
1722516667375,43,1000000,1849
1722516667379,43,1000000,1849
1722516667383,45,1000000,2025
1722516667387,43,1000000,1849
1722516667391,42,1000000,1764
1722516667395,42,1000000,1764
1722516667399,43,1000000,1849
1722516667403,45,1000000,2025
1722516667407,43,1000000,1849
1722516667411,43,1000000,1849
1722516667415,43,1000000,1849
1722516667419,43,1000000,1849
1722516667424,45,1000000,2025
1722516667428,43,1000000,1849
1722516667432,43,1000000,1849
1722516667436,42,1000000,1764
1722516667440,43,1000000,1849
1722516667444,45,1000000,2025
1722516667447,43,1000000,1849
1722516667451,43,1000000,1849
1722516667455,42,1000000,1764
1722516667459,43,1000000,1849
1722516667463,45,1000000,2025
1722516667467,43,1000000,1849
1722516667472,42,1000000,1764
1722516667476,42,1000000,1764
1722516667480,43,1000000,1849
1722516667484,45,1000000,2025
1722516667488,43,1000000,1849
1722516667492,42,1000000,1764
1722516667496,42,1000000,1764
1722516667500,43,1000000,1849
1722516667504,44,1000000,1936
1722516667508,43,1000000,1849
1722516667512,42,1000000,1764
1722516667516,42,1000000,1764
1722516667520,43,1000000,1849
1722516667524,44,1000000,1936
1722516667529,43,1000000,1849
1722516667533,42,1000000,1764
1722516667537,42,1000000,1764
1722516667541,44,1000000,1936
1722516667545,44,1000000,1936
1722516667549,43,1000000,1849
1722516667552,42,1000000,1764
1722516667556,42,1000000,1764
1722516667560,43,1000000,1849
1722516667564,45,1000000,2025
1722516667568,43,1000000,1849
1722516667572,42,1000000,1764
1722516667576,42,1000000,1764
1722516667581,43,1000000,1849
1722516667585,44,1000000,1936
1722516667589,43,1000000,1849
1722516667593,42,1000000,1764
1722516667597,42,1000000,1764
1722516667601,43,1000000,1849
1722516667605,44,1000000,1936
1722516667609,43,1000000,1849
1722516667613,42,1000000,1764
1722516667617,42,1000000,1764
1722516667621,44,1000000,1936
1722516667626,44,1000000,1936
1722516667629,43,1000000,1849
1722516667634,42,1000000,1764
1722516667638,43,1000000,1849
1722516667642,44,1000000,1936
1722516667646,44,1000000,1936
1722516667650,43,1000000,1849
1722516667653,42,1000000,1764
1722516667657,42,1000000,1764
1722516667661,43,1000000,1849
1722516667665,44,1000000,1936
1722516667669,43,1000000,1849
1722516667673,42,1000000,1764
1722516667676,42,1000000,1764
1722516667681,43,1000000,1849
1722516667685,44,1000000,1936
1722516667689,43,1000000,1849
1722516667693,42,1000000,1764
1722516667697,42,1000000,1764
1722516667701,45,1000000,2025
1722516667705,44,1000000,1936
1722516667709,43,1000000,1849
1722516667713,42,1000000,1764
1722516667717,42,1000000,1764
1722516667721,44,1000000,1936
1722516667725,44,1000000,1936
1722516667730,43,1000000,1849
1722516667733,43,1000000,1849
1722516667738,42,1000000,1764
1722516667742,44,1000000,1936
1722516667746,43,1000000,1849
1722516667750,43,1000000,1849
1722516667753,42,1000000,1764
1722516667757,43,1000000,1849
1722516667761,44,1000000,1936
1722516667765,44,1000000,1936
1722516667769,43,1000000,1849
1722516667773,42,1000000,1764
1722516667777,42,1000000,1764
1722516667782,45,1000000,2025
1722516667786,44,1000000,1936
1722516667790,43,1000000,1849
1722516667794,42,1000000,1764
1722516667798,43,1000000,1849
1722516667802,44,1000000,1936
1722516667806,44,1000000,1936
1722516667810,43,1000000,1849
1722516667814,42,1000000,1764
1722516667818,42,1000000,1764
1722516667822,44,1000000,1936
1722516667826,43,1000000,1849
1722516667831,43,1000000,1849
1722516667834,42,1000000,1764
1722516667839,43,1000000,1849
1722516667843,45,1000000,2025
1722516667847,43,1000000,1849
1722516667851,43,1000000,1849
1722516667855,42,1000000,1764
1722516667858,42,1000000,1764
1722516667862,44,1000000,1936
1722516667866,43,1000000,1849
1722516667870,43,1000000,1849
1722516667874,43,1000000,1849
1722516667878,43,1000000,1849
1722516667882,45,1000000,2025
1722516667886,44,1000000,1936
1722516667891,43,1000000,1849
1722516667895,43,1000000,1849
1722516667899,43,1000000,1849
1722516667903,45,1000000,2025
1722516667907,43,1000000,1849
1722516667911,43,1000000,1849
1722516667915,43,1000000,1849
1722516667919,43,1000000,1849
1722516667923,45,1000000,2025
1722516667927,43,1000000,1849
1722516667931,43,1000000,1849
1722516667935,43,1000000,1849
1722516667940,43,1000000,1849
1722516667944,45,1000000,2025
1722516667948,43,1000000,1849
1722516667952,43,1000000,1849
1722516667956,43,1000000,1849
1722516667959,43,1000000,1849
1722516667963,45,1000000,2025
1722516667967,43,1000000,1849
1722516667971,43,1000000,1849
1722516667975,43,1000000,1849
1722516667979,43,1000000,1849
1722516667983,45,1000000,2025
1722516667988,43,1000000,1849
1722516667992,43,1000000,1849
1722516667996,43,1000000,1849
1722516668000,43,1000000,1849
1722516668004,45,1000000,2025
1722516668008,43,1000000,1849
1722516668012,42,1000000,1764
1722516668016,43,1000000,1849
1722516668020,43,1000000,1849
1722516668024,45,1000000,2025
1722516668028,43,1000000,1849
1722516668032,42,1000000,1764
1722516668036,42,1000000,1764
1722516668041,43,1000000,1849
1722516668045,44,1000000,1936
1722516668049,43,1000000,1849
1722516668053,42,1000000,1764
1722516668057,42,1000000,1764
1722516668060,43,1000000,1849
1722516668064,45,1000000,2025
1722516668068,43,1000000,1849
1722516668072,42,1000000,1764
1722516668076,42,1000000,1764
1722516668080,43,1000000,1849
1722516668084,45,1000000,2025
1722516668088,43,1000000,1849
1722516668091,43,1000000,1849
1722516668096,42,1000000,1764
1722516668100,43,1000000,1849
1722516668104,45,1000000,2025
1722516668108,43,1000000,1849
1722516668112,42,1000000,1764
1722516668116,42,1000000,1764
1722516668120,44,1000000,1936
1722516668124,44,1000000,1936
1722516668128,43,1000000,1849
1722516668132,42,1000000,1764
1722516668136,42,1000000,1764
1722516668140,43,1000000,1849
1722516668145,44,1000000,1936
1722516668149,43,1000000,1849
1722516668153,42,1000000,1764
1722516668157,42,1000000,1764
1722516668161,43,1000000,1849
1722516668164,44,1000000,1936
1722516668168,43,1000000,1849
1722516668172,43,1000000,1849
1722516668176,42,1000000,1764
1722516668180,43,1000000,1849
1722516668184,44,1000000,1936
1722516668188,43,1000000,1849
1722516668192,42,1000000,1764
1722516668197,42,1000000,1764
1722516668201,43,1000000,1849
1722516668205,44,1000000,1936
1722516668209,43,1000000,1849
1722516668213,42,1000000,1764
1722516668217,43,1000000,1849
1722516668221,44,1000000,1936
1722516668225,44,1000000,1936
1722516668229,43,1000000,1849
1722516668233,42,1000000,1764
1722516668237,43,1000000,1849
1722516668241,43,1000000,1849
1722516668246,43,1000000,1849
1722516668250,43,1000000,1849
1722516668254,42,1000000,1764
1722516668258,43,1000000,1849
1722516668262,45,1000000,2025
1722516668265,44,1000000,1936
1722516668269,43,1000000,1849
1722516668273,42,1000000,1764
1722516668277,42,1000000,1764
1722516668281,43,1000000,1849
1722516668285,44,1000000,1936
1722516668289,43,1000000,1849
1722516668293,42,1000000,1764
1722516668298,43,1000000,1849
1722516668302,44,1000000,1936
1722516668306,44,1000000,1936
1722516668310,43,1000000,1849
1722516668314,42,1000000,1764
1722516668318,42,1000000,1764
1722516668322,43,1000000,1849
1722516668326,43,1000000,1849
1722516668330,43,1000000,1849
1722516668334,42,1000000,1764
1722516668338,43,1000000,1849
1722516668342,45,1000000,2025
1722516668347,43,1000000,1849
1722516668350,43,1000000,1849
1722516668355,43,1000000,1849
1722516668359,42,1000000,1764
1722516668362,43,1000000,1849
1722516668366,44,1000000,1936
1722516668370,43,1000000,1849
1722516668374,42,1000000,1764
1722516668378,43,1000000,1849
1722516668382,44,1000000,1936
1722516668386,44,1000000,1936
1722516668390,43,1000000,1849
1722516668395,43,1000000,1849
1722516668399,42,1000000,1764
1722516668403,45,1000000,2025
1722516668407,43,1000000,1849
1722516668411,43,1000000,1849
1722516668415,42,1000000,1764
1722516668419,43,1000000,1849
1722516668423,45,1000000,2025
1722516668427,43,1000000,1849
1722516668431,43,1000000,1849
1722516668435,43,1000000,1849
1722516668439,43,1000000,1849
1722516668444,45,1000000,2025
1722516668447,43,1000000,1849
1722516668451,43,1000000,1849
1722516668455,42,1000000,1764
1722516668458,42,1000000,1764
1722516668462,45,1000000,2025
1722516668466,43,1000000,1849
1722516668470,43,1000000,1849
1722516668474,43,1000000,1849
1722516668478,43,1000000,1849
1722516668482,45,1000000,2025
1722516668486,43,1000000,1849
1722516668490,43,1000000,1849
1722516668495,43,1000000,1849
1722516668499,43,1000000,1849
