timestamp,buffer_voltage_mv,resistance,pwr_pw
1722512876493,42,1000000,1764
1722512876497,42,1000000,1764
1722512876501,43,1000000,1849
1722512876505,44,1000000,1936
1722512876509,43,1000000,1849
1722512876514,42,1000000,1764
1722512876518,42,1000000,1764
1722512876522,43,1000000,1849
1722512876526,44,1000000,1936
1722512876530,43,1000000,1849
1722512876534,42,1000000,1764
1722512876538,42,1000000,1764
1722512876542,43,1000000,1849
1722512876545,44,1000000,1936
1722512876549,43,1000000,1849
1722512876553,42,1000000,1764
1722512876557,43,1000000,1849
1722512876561,43,1000000,1849
1722512876566,44,1000000,1936
1722512876570,43,1000000,1849
1722512876574,42,1000000,1764
1722512876578,42,1000000,1764
1722512876582,43,1000000,1849
1722512876586,44,1000000,1936
1722512876590,43,1000000,1849
1722512876594,42,1000000,1764
1722512876598,42,1000000,1764
1722512876602,44,1000000,1936
1722512876606,44,1000000,1936
1722512876610,43,1000000,1849
1722512876614,42,1000000,1764
1722512876619,43,1000000,1849
1722512876623,44,1000000,1936
1722512876627,44,1000000,1936
1722512876631,43,1000000,1849
1722512876635,42,1000000,1764
1722512876639,42,1000000,1764
1722512876643,43,1000000,1849
1722512876646,44,1000000,1936
1722512876650,43,1000000,1849
1722512876654,42,1000000,1764
1722512876658,42,1000000,1764
1722512876662,43,1000000,1849
1722512876666,44,1000000,1936
1722512876671,43,1000000,1849
1722512876675,42,1000000,1764
1722512876679,42,1000000,1764
1722512876683,44,1000000,1936
1722512876686,44,1000000,1936
1722512876690,43,1000000,1849
1722512876694,42,1000000,1764
1722512876698,42,1000000,1764
1722512876702,44,1000000,1936
1722512876706,44,1000000,1936
1722512876710,43,1000000,1849
1722512876714,43,1000000,1849
1722512876719,42,1000000,1764
1722512876723,45,1000000,2025
1722512876727,44,1000000,1936
1722512876731,43,1000000,1849
1722512876735,42,1000000,1764
1722512876739,43,1000000,1849
1722512876743,45,1000000,2025
1722512876747,44,1000000,1936
1722512876750,43,1000000,1849
1722512876754,42,1000000,1764
1722512876758,42,1000000,1764
1722512876762,45,1000000,2025
1722512876766,44,1000000,1936
1722512876770,43,1000000,1849
1722512876775,42,1000000,1764
1722512876779,42,1000000,1764
1722512876783,44,1000000,1936
1722512876787,44,1000000,1936
1722512876791,43,1000000,1849
1722512876795,43,1000000,1849
1722512876799,43,1000000,1849
1722512876803,45,1000000,2025
1722512876807,43,1000000,1849
1722512876811,43,1000000,1849
1722512876815,43,1000000,1849
1722512876819,43,1000000,1849
1722512876824,45,1000000,2025
1722512876828,43,1000000,1849
1722512876832,43,1000000,1849
1722512876836,43,1000000,1849
1722512876840,43,1000000,1849
1722512876844,45,1000000,2025
1722512876848,43,1000000,1849
1722512876851,43,1000000,1849
1722512876855,42,1000000,1764
1722512876859,43,1000000,1849
1722512876863,45,1000000,2025
1722512876867,43,1000000,1849
1722512876871,43,1000000,1849
1722512876875,43,1000000,1849
1722512876880,42,1000000,1764
1722512876884,45,1000000,2025
1722512876888,43,1000000,1849
1722512876892,43,1000000,1849
1722512876896,42,1000000,1764
1722512876900,43,1000000,1849
1722512876904,45,1000000,2025
1722512876908,43,1000000,1849
1722512876912,42,1000000,1764
1722512876916,43,1000000,1849
1722512876920,43,1000000,1849
1722512876924,45,1000000,2025
1722512876929,43,1000000,1849
1722512876933,42,1000000,1764
1722512876937,42,1000000,1764
1722512876941,43,1000000,1849
1722512876945,45,1000000,2025
1722512876949,43,1000000,1849
1722512876952,43,1000000,1849
1722512876956,43,1000000,1849
1722512876960,43,1000000,1849
1722512876964,45,1000000,2025
1722512876968,43,1000000,1849
1722512876972,42,1000000,1764
1722512876976,43,1000000,1849
1722512876981,43,1000000,1849
1722512876985,45,1000000,2025
1722512876989,43,1000000,1849
1722512876993,42,1000000,1764
1722512876997,42,1000000,1764
1722512877001,42,1000000,1764
1722512877005,45,1000000,2025
1722512877009,43,1000000,1849
1722512877013,42,1000000,1764
1722512877017,43,1000000,1849
1722512877021,43,1000000,1849
1722512877025,44,1000000,1936
1722512877030,43,1000000,1849
1722512877034,42,1000000,1764
1722512877038,42,1000000,1764
1722512877042,43,1000000,1849
1722512877045,44,1000000,1936
1722512877049,43,1000000,1849
1722512877053,42,1000000,1764
1722512877056,43,1000000,1849
1722512877060,43,1000000,1849
1722512877064,45,1000000,2025
1722512877068,43,1000000,1849
1722512877072,43,1000000,1849
1722512877076,42,1000000,1764
1722512877081,43,1000000,1849
1722512877085,45,1000000,2025
1722512877089,43,1000000,1849
1722512877093,42,1000000,1764
1722512877097,42,1000000,1764
1722512877101,44,1000000,1936
1722512877105,44,1000000,1936
1722512877109,43,1000000,1849
1722512877113,42,1000000,1764
1722512877117,42,1000000,1764
1722512877121,43,1000000,1849
1722512877125,44,1000000,1936
1722512877130,43,1000000,1849
1722512877134,42,1000000,1764
1722512877138,42,1000000,1764
1722512877142,43,1000000,1849
1722512877146,44,1000000,1936
