timestamp,buffer_voltage_mv,resistance,pwr_pw
1722513031165,45,1000000,2025
1722513031169,43,1000000,1849
1722513031173,42,1000000,1764
1722513031177,42,1000000,1764
1722513031182,43,1000000,1849
1722513031186,44,1000000,1936
1722513031189,43,1000000,1849
1722513031193,42,1000000,1764
1722513031197,42,1000000,1764
1722513031201,43,1000000,1849
1722513031205,44,1000000,1936
1722513031209,43,1000000,1849
1722513031213,42,1000000,1764
1722513031216,42,1000000,1764
1722513031220,43,1000000,1849
1722513031224,45,1000000,2025
1722513031228,43,1000000,1849
1722513031233,42,1000000,1764
1722513031237,43,1000000,1849
1722513031241,43,1000000,1849
1722513031245,44,1000000,1936
1722513031249,43,1000000,1849
1722513031253,42,1000000,1764
1722513031257,42,1000000,1764
1722513031261,43,1000000,1849
1722513031265,44,1000000,1936
1722513031269,43,1000000,1849
1722513031273,42,1000000,1764
1722513031277,42,1000000,1764
1722513031282,43,1000000,1849
1722513031286,44,1000000,1936
1722513031290,43,1000000,1849
1722513031294,42,1000000,1764
1722513031298,42,1000000,1764
1722513031302,43,1000000,1849
1722513031306,44,1000000,1936
1722513031310,43,1000000,1849
1722513031314,42,1000000,1764
1722513031318,42,1000000,1764
1722513031321,43,1000000,1849
1722513031325,44,1000000,1936
1722513031329,43,1000000,1849
1722513031333,43,1000000,1849
1722513031338,42,1000000,1764
1722513031342,43,1000000,1849
1722513031346,45,1000000,2025
1722513031350,43,1000000,1849
1722513031354,42,1000000,1764
1722513031358,42,1000000,1764
1722513031362,44,1000000,1936
1722513031366,44,1000000,1936
1722513031370,43,1000000,1849
1722513031374,42,1000000,1764
1722513031378,42,1000000,1764
1722513031383,44,1000000,1936
1722513031386,44,1000000,1936
1722513031391,43,1000000,1849
1722513031395,42,1000000,1764
1722513031399,42,1000000,1764
1722513031403,45,1000000,2025
1722513031407,44,1000000,1936
1722513031411,42,1000000,1764
1722513031415,42,1000000,1764
1722513031419,43,1000000,1849
1722513031423,44,1000000,1936
1722513031426,44,1000000,1936
1722513031430,43,1000000,1849
1722513031434,42,1000000,1764
1722513031438,42,1000000,1764
1722513031443,44,1000000,1936
1722513031447,44,1000000,1936
1722513031451,43,1000000,1849
1722513031455,42,1000000,1764
1722513031459,42,1000000,1764
1722513031463,44,1000000,1936
1722513031467,44,1000000,1936
1722513031471,43,1000000,1849
1722513031475,42,1000000,1764
1722513031479,42,1000000,1764
1722513031483,45,1000000,2025
1722513031487,44,1000000,1936
1722513031492,43,1000000,1849
1722513031496,42,1000000,1764
1722513031500,43,1000000,1849
1722513031504,45,1000000,2025
1722513031508,44,1000000,1936
1722513031512,43,1000000,1849
1722513031516,43,1000000,1849
1722513031520,43,1000000,1849
1722513031524,45,1000000,2025
1722513031528,43,1000000,1849
1722513031531,43,1000000,1849
1722513031535,42,1000000,1764
1722513031539,43,1000000,1849
1722513031544,44,1000000,1936
1722513031548,44,1000000,1936
1722513031552,43,1000000,1849
1722513031556,42,1000000,1764
1722513031560,42,1000000,1764
1722513031563,44,1000000,1936
1722513031567,43,1000000,1849
1722513031571,43,1000000,1849
1722513031575,42,1000000,1764
1722513031579,43,1000000,1849
1722513031583,45,1000000,2025
1722513031587,43,1000000,1849
1722513031592,43,1000000,1849
1722513031595,43,1000000,1849
1722513031600,42,1000000,1764
1722513031604,45,1000000,2025
1722513031608,43,1000000,1849
1722513031612,43,1000000,1849
1722513031616,42,1000000,1764
1722513031620,43,1000000,1849
1722513031624,45,1000000,2025
1722513031628,43,1000000,1849
1722513031631,43,1000000,1849
1722513031635,43,1000000,1849
1722513031639,43,1000000,1849
1722513031643,44,1000000,1936
1722513031648,43,1000000,1849
1722513031652,43,1000000,1849
1722513031656,42,1000000,1764
1722513031660,43,1000000,1849
1722513031664,45,1000000,2025
1722513031668,43,1000000,1849
1722513031672,42,1000000,1764
1722513031676,43,1000000,1849
1722513031680,43,1000000,1849
1722513031684,45,1000000,2025
1722513031688,43,1000000,1849
1722513031693,42,1000000,1764
1722513031697,43,1000000,1849
1722513031701,43,1000000,1849
1722513031705,45,1000000,2025
1722513031709,43,1000000,1849
1722513031713,43,1000000,1849
1722513031717,42,1000000,1764
1722513031721,43,1000000,1849
1722513031725,45,1000000,2025
1722513031729,43,1000000,1849
1722513031732,43,1000000,1849
1722513031736,43,1000000,1849
1722513031740,43,1000000,1849
1722513031744,45,1000000,2025
1722513031749,43,1000000,1849
1722513031753,42,1000000,1764
1722513031757,42,1000000,1764
1722513031761,43,1000000,1849
1722513031765,45,1000000,2025
1722513031769,43,1000000,1849
1722513031773,43,1000000,1849
1722513031777,42,1000000,1764
1722513031781,43,1000000,1849
1722513031785,44,1000000,1936
1722513031789,43,1000000,1849
1722513031794,43,1000000,1849
1722513031797,42,1000000,1764
1722513031802,43,1000000,1849
1722513031806,45,1000000,2025
1722513031810,43,1000000,1849
1722513031814,42,1000000,1764
1722513031818,42,1000000,1764
1722513031822,43,1000000,1849
1722513031826,44,1000000,1936
1722513031830,43,1000000,1849
1722513031834,42,1000000,1764
1722513031837,42,1000000,1764
1722513031841,43,1000000,1849
1722513031845,45,1000000,2025
1722513031849,43,1000000,1849
1722513031854,42,1000000,1764
1722513031858,42,1000000,1764
1722513031862,43,1000000,1849
1722513031866,44,1000000,1936
1722513031870,43,1000000,1849
1722513031874,42,1000000,1764
1722513031878,42,1000000,1764
1722513031882,43,1000000,1849
1722513031886,44,1000000,1936
1722513031890,43,1000000,1849
1722513031894,43,1000000,1849
1722513031899,42,1000000,1764
1722513031903,43,1000000,1849
1722513031907,44,1000000,1936
1722513031911,43,1000000,1849
1722513031915,42,1000000,1764
1722513031919,43,1000000,1849
1722513031923,44,1000000,1936
1722513031926,44,1000000,1936
1722513031930,43,1000000,1849
1722513031934,42,1000000,1764
1722513031937,42,1000000,1764
1722513031941,44,1000000,1936
1722513031946,44,1000000,1936
1722513031949,43,1000000,1849
