exp_id,node_id,rx_gain_ch0,rx_gain_ch1,rx_gain_diff,angle_diff,angle_diff_std,max_IQ_ampl_ch0,max_IQ_ampl_ch1
20240911194521,T04,1.0,68.0,67.0,108.32434541027094,1.97094040160631,0.012787302,1.0000342
20240911194521,T04,1.0,69.0,68.0,107.51001410433044,2.0387689032667824,0.012787302,1.0000342
20240911194521,T04,1.0,70.0,69.0,107.81624452642916,1.722426989958621,0.012787302,1.0000342
20240911194521,T04,0.0,14.0,14.0,-79.03317330153764,0.18968412919848854,0.0127567835,0.014313233
20240911194521,T04,1.0,71.0,70.0,107.52170087664996,1.676473670873135,0.012787302,1.0000342
20240911194521,T04,1.0,72.0,71.0,107.6489990724051,1.1748877938567006,0.012787302,1.0000342
20240911194521,T04,1.0,73.0,72.0,107.02345180764982,1.054725487213808,0.012787302,1.0000342
20240911194521,T04,1.0,74.0,73.0,106.5401402723762,1.0067730469294736,0.0127567835,1.0000342
20240911194521,T04,1.0,75.0,74.0,105.77553652889027,0.9976629185153999,0.0128178205,1.0000342
20240911194521,T04,1.0,76.0,75.0,104.64497851668924,0.9969542479074301,0.012726265,1.0000342
20240911194521,T04,1.0,77.0,76.0,104.66148818963835,0.9793927351872141,0.0127567835,1.0000342
20240911194521,T04,2.0,0.0,-2.0,-77.88979863969422,0.6408370052600832,0.0128178205,0.003875865
20240911194521,T04,2.0,1.0,-1.0,-77.87686425995126,0.6371009830291432,0.012787302,0.003875865
20240911194521,T04,2.0,2.0,0.0,-77.88638849743778,0.6559524658746664,0.0128178205,0.003936902
20240911194521,T04,0.0,15.0,15.0,-79.99148868211934,1.3387642059009435,0.0128178205,0.01596124
20240911194521,T04,2.0,3.0,1.0,-77.8156851685216,0.5745668196268717,0.0128178205,0.004394681
20240911194521,T04,2.0,4.0,2.0,-77.7739723603517,0.532433413278513,0.012848339,0.004730386
20240911194521,T04,2.0,5.0,3.0,-77.66771818953269,0.49494355970253634,0.012787302,0.0053102397
20240911194521,T04,2.0,6.0,4.0,-77.63434194252453,0.443727425834596,0.012787302,0.0059206123
20240911194521,T04,2.0,7.0,5.0,-77.59543412603732,0.3920020864632571,0.0128178205,0.0066225408
