timestamp,x,y,z,utc,rm,dbm,buffer_voltage_mv,resistance,pwr_nw
1720171470.5703766,1.0,2.0,3.0,11:24:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.80531959181263,1382,1000000,1909
1720171471.201595,1.0,2.0,3.0,11:24:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.789401726903147,1376,1000000,1915
1720171471.8273747,1.0,2.0,3.0,11:24:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.79299042873197,1371,1000000,1879
1720171472.4614232,1.0,2.0,3.0,11:24:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.82962958128786,1383,1000000,1822
1720171473.1002297,1.0,2.0,3.0,11:24:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.840255474502907,1347,1000000,1814
1720171473.736614,1.0,2.0,3.0,11:24:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.78424986539565,1373,1000000,1932
1720171474.3776915,1.0,2.0,3.0,11:24:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.75795089892658,1410,1000000,1999
1720171475.007276,1.0,2.0,3.0,11:24:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.783101274753257,1361,1000000,1863
1720171475.6509817,1.0,2.0,3.0,11:24:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.711887952610333,1396,1000000,1948
1720171476.301102,1.0,2.0,3.0,11:24:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.889249648211074,1389,1000000,1901
1720171476.9469965,1.0,2.0,3.0,11:24:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.730258870526065,1386,1000000,1926
1720171477.6061687,1.0,2.0,3.0,11:24:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.82576123547794,1369,1000000,1874
1720171478.2595525,1.0,2.0,3.0,11:24:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.811078928702802,1363,1000000,1844
1720171478.8956017,1.0,2.0,3.0,11:24:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.28906214996435,51,1000000,2
1720171479.550414,1.0,2.0,3.0,11:24:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.349529537166013,47,1000000,2
1720171480.1710074,1.0,2.0,3.0,11:24:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.27776476597105,43,1000000,1
1720171480.8079815,1.0,2.0,3.0,11:24:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.208151298034885,46,1000000,1
1720171481.4186354,1.0,2.0,3.0,11:24:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.12516357923944,59,1000000,3
1720171482.0666084,1.0,2.0,3.0,11:24:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.448392873585824,45,1000000,2
1720171482.719046,1.0,2.0,3.0,11:24:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.138593565454272,54,1000000,3
1720171483.3504345,1.0,2.0,3.0,11:24:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.173564507869173,37,1000000,1
1720171483.9718688,1.0,2.0,3.0,11:24:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.336350761078727,55,1000000,2
1720171484.6161613,1.0,2.0,3.0,11:24:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.220718525109262,56,1000000,3
1720171485.242657,1.0,2.0,3.0,11:24:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.125555109617864,50,1000000,2
1720171485.8666782,1.0,2.0,3.0,11:24:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.184684789521157,56,1000000,3
1720171486.491967,1.0,2.0,3.0,11:24:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.193552818312853,49,1000000,2
1720171487.1376555,1.0,2.0,3.0,11:24:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.192306097957562,47,1000000,2
1720171487.763535,1.0,2.0,3.0,11:24:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.28815382494828,47,1000000,2
1720171488.387781,1.0,2.0,3.0,11:24:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.22687087191879,51,1000000,2
