X: (Deg),Y: (Hits)
-0.578567,0
-0.397811,0
-0.217055,0
-0.0362994,3766
0.144456,13428
0.325212,13976
0.505968,14535
0.686723,15404
0.867479,16271
1.04823,16804
1.22899,17582
1.40975,18116
1.5905,18611
1.77126,18796
1.95201,19248
2.13277,19639
2.31352,19680
2.49428,20127
2.67504,20918
2.85579,20981
3.03655,21364
3.2173,21828
3.39806,22435
3.57881,22770
3.75957,23263
3.94033,23783
4.12108,23927
4.30184,24238
4.48259,23965
4.66335,24013
4.8441,23272
5.02486,22962
5.20562,21803
5.38637,21194
5.56713,20023
5.74788,19105
5.92864,18315
6.10939,17124
6.29015,16066
6.47091,15070
6.65166,14196
6.83242,13242
7.01317,12298
7.19393,11474
7.37468,10730
7.55544,10025
7.7362,9426
7.91695,8896
8.09771,8530
8.27846,7767
8.45922,7113
8.63997,6732
8.82073,6052
9.00149,5737
9.18224,5176
9.363,4519
9.54375,4150
9.72451,3755
9.90526,3319
10.086,2921
10.2668,2685
10.4475,2261
10.6283,1945
10.809,1730
10.9898,1472
11.1706,1285
11.3513,1133
11.5321,949
11.7128,847
11.8936,755
12.0743,584
12.2551,505
12.4358,457
12.6166,371
12.7974,288
12.9781,262
13.1589,227
13.3396,210
13.5204,143
13.7011,124
13.8819,73
14.0626,75
14.2434,66
14.4242,53
14.6049,26
14.7857,22
14.9664,18
15.1472,11
15.3279,10
15.5087,5
15.6894,5
15.8702,1
16.051,2
16.2317,0
16.4125,0
16.5932,1
16.774,0
16.9547,1
17.1355,0
17.3162,0
17.497,0
17.6778,0
17.8585,0
18.0393,0
18.22,0
18.4008,0
18.5815,0
18.7623,0
18.9431,0
19.1238,0
19.3046,0
19.4853,0
19.6661,0
19.8468,0
20.0276,0
20.2083,0
20.3891,0
20.5699,0
20.7506,0
20.9314,0
21.1121,0
21.2929,0
21.4736,0
21.6544,0
21.8351,0
22.0159,0
22.1967,0
22.3774,0
22.5582,0
22.7389,0
22.9197,0
23.1004,0
23.2812,0
23.4619,0
23.6427,0
23.8235,0
24.0042,0
24.185,0
24.3657,0
24.5465,0
24.7272,0
24.908,0
25.0887,0
25.2695,0
25.4503,0
25.631,0
25.8118,0
25.9925,0
26.1733,0
26.354,0
26.5348,0
26.7155,0
26.8963,0
27.0771,0
27.2578,0
27.4386,0
27.6193,0
27.8001,0
27.9808,0
28.1616,0
28.3423,0
28.5231,0
28.7039,0
28.8846,0
29.0654,0
29.2461,0
29.4269,0
29.6076,0
29.7884,0
29.9691,0
30.1499,0
30.3307,0
30.5114,0
30.6922,0
30.8729,0
31.0537,0
31.2344,0
31.4152,0
31.5959,0
31.7767,0
31.9575,0
32.1382,0
32.319,0
32.4997,0
32.6805,0
32.8612,0
33.042,0
33.2228,0
33.4035,0
33.5843,0
33.765,0
33.9458,0
34.1265,0
34.3073,0
34.488,0
34.6688,0
34.8496,0
35.0303,0
35.2111,0
35.3918,0
35.5726,0
35.7533,0
35.9341,0
36.1148,0
36.2956,0
36.4764,0
36.6571,0
36.8379,0
37.0186,0
37.1994,0
37.3801,0
37.5609,0
37.7416,0
37.9224,0
38.1032,0
38.2839,0
38.4647,0
38.6454,0
38.8262,0
39.0069,0
39.1877,0
39.3684,0
39.5492,0
39.73,0
39.9107,0
40.0915,0
40.2722,0
40.453,0
40.6337,0
40.8145,0
40.9952,0
41.176,0
41.3568,0
41.5375,0
41.7183,0
41.899,0
42.0798,0
42.2605,0
42.4413,0
42.622,0
42.8028,0
42.9836,0
43.1643,0
43.3451,0
43.5258,0
43.7066,0
43.8873,0
44.0681,0
44.2488,0
44.4296,0
44.6104,0
44.7911,0
44.9719,0
45.1526,0
45.3334,0
45.5141,0
45.6949,0
45.8757,0
46.0564,0
46.2372,0
46.4179,0
46.5987,0
46.7794,0
46.9602,0
47.1409,0
47.3217,0
47.5025,0
47.6832,0
47.864,0
48.0447,0
48.2255,0
48.4062,0
48.587,0
48.7677,0
48.9485,0
49.1293,0
49.31,0
49.4908,0
49.6715,0
49.8523,0
50.033,0
50.2138,0
50.3945,0
50.5753,0
50.7561,0
50.9368,0
51.1176,0
51.2983,0
51.4791,0
51.6598,0
51.8406,0
52.0213,0
52.2021,0
52.3829,0
52.5636,0
52.7444,0
52.9251,0
53.1059,0
53.2866,0
53.4674,0
53.6481,0
53.8289,0
54.0097,0
54.1904,0
54.3712,0
54.5519,0
54.7327,0
