timestamp,x,y,z,utc,rm,dbm,buffer_voltage_mv,resistance,pwr_nw
1720536263.7301042,1.0,2.0,3.0,16:44:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.2472152709961,2097152,11292,2149380
1720536266.8229845,1.0,2.0,3.0,16:44:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.67073822021484,2097152,11292,2149380
1720536269.7909498,1.0,2.0,3.0,16:44:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.3759765625,2097152,11292,2149380
1720536272.6402516,1.0,2.0,3.0,16:44:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.69739532470703,2097152,11292,2149380
1720536275.3476846,1.0,2.0,3.0,16:44:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.77751922607422,2097152,11292,2149380
1720536278.5118148,1.0,2.0,3.0,16:44:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.6473159790039,2097152,11292,2149380
1720536281.435413,1.0,2.0,3.0,16:44:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-85.79595947265625,2097152,11292,2097408
1720536284.5609374,1.0,2.0,3.0,16:44:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.15452575683594,2097152,11292,2149380
1720536287.6403527,1.0,2.0,3.0,16:44:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-85.75468444824219,2097152,11292,2149380
1720536290.3810503,1.0,2.0,3.0,16:44:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-86.17610931396484,2097152,11292,2149380
1720536293.3118563,1.0,2.0,3.0,16:44:51,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-85.93617248535156,2097152,11292,2149380
