timestamp,dbm
1722587652993,-104.6278305053711
1722587653031,-104.6278305053711
1722587653081,-104.12313079833984
1722587653149,-104.12313079833984
1722587653214,-104.12313079833984
1722587653280,-104.12313079833984
1722587653346,-103.71016693115234
1722587653413,-103.71016693115234
1722587653501,-103.71016693115234
1722587653548,-103.71016693115234
1722587653613,-104.30171966552734
1722587653680,-104.30171966552734
1722587653745,-104.30171966552734
1722587653817,-103.62637329101562
1722587653880,-103.62637329101562
1722587653948,-103.62637329101562
1722587654003,-103.62637329101562
1722587654066,-103.38126373291016
1722587654131,-103.38126373291016
1722587654198,-103.38126373291016
1722587654265,-103.38126373291016
1722587654347,-103.43695068359375
1722587654413,-103.43695068359375
1722587654479,-103.43695068359375
1722587654546,-103.43695068359375
1722587654614,-104.06507110595703
1722587654677,-104.06507110595703
1722587654748,-104.06507110595703
1722587654816,-103.59445190429688
1722587654881,-103.59445190429688
1722587654944,-103.59445190429688
1722587655017,-103.59445190429688
1722587655080,-103.56688690185547
1722587655145,-103.56688690185547
1722587655211,-103.56688690185547
1722587655266,-103.56688690185547
1722587655328,-102.7552490234375
1722587655385,-102.7552490234375
1722587655443,-102.7552490234375
1722587655511,-102.7552490234375
1722587655581,-104.02294158935547
1722587655646,-104.02294158935547
1722587655715,-104.02294158935547
1722587655780,-104.02294158935547
1722587655852,-104.3029556274414
1722587655910,-104.3029556274414
1722587655979,-104.3029556274414
1722587656046,-104.3029556274414
1722587656113,-104.64418029785156
1722587656176,-104.64418029785156
1722587656244,-104.64418029785156
1722587656312,-104.28874969482422
1722587656379,-104.28874969482422
1722587656444,-104.28874969482422
1722587656510,-104.28874969482422
1722587656593,-103.97770690917969
1722587656660,-103.97770690917969
1722587656710,-103.97770690917969
1722587656778,-103.97770690917969
1722587656844,-103.88772583007812
1722587656908,-103.88772583007812
1722587656976,-103.88772583007812
1722587657061,-103.4937515258789
1722587657124,-103.4937515258789
1722587657195,-103.4937515258789
1722587657260,-103.4937515258789
1722587657326,-102.99490356445312
1722587657395,-102.99490356445312
1722587657463,-102.99490356445312
1722587657528,-102.99490356445312
1722587657592,-103.2223892211914
1722587657661,-103.2223892211914
1722587657726,-103.2223892211914
1722587657799,-104.0799560546875
1722587657861,-104.0799560546875
1722587657923,-104.0799560546875
1722587657994,-104.0799560546875
1722587658061,-104.77616119384766
1722587658127,-104.77616119384766
1722587658191,-104.77616119384766
1722587658260,-104.77616119384766
1722587658326,-104.39483642578125
1722587658394,-104.39483642578125
1722587658451,-104.39483642578125
1722587658508,-104.39483642578125
1722587658578,-103.01773834228516
1722587658642,-103.01773834228516
1722587658710,-103.01773834228516
1722587658774,-103.01773834228516
1722587658843,-104.67829132080078
1722587658908,-104.67829132080078
1722587658977,-104.67829132080078
1722587659044,-103.91019439697266
1722587659108,-103.91019439697266
1722587659177,-103.91019439697266
1722587659241,-103.91019439697266
1722587659324,-104.94466400146484
1722587659393,-104.94466400146484
1722587659457,-104.94466400146484
1722587659531,-104.48578643798828
1722587659594,-104.48578643798828
1722587659658,-104.48578643798828
1722587659726,-104.48578643798828
1722587659785,-103.97297668457031
1722587659841,-103.97297668457031
1722587659909,-103.97297668457031
1722587659991,-103.97297668457031
1722587660059,-104.38902282714844
1722587660126,-104.38902282714844
1722587660191,-104.38902282714844
1722587660258,-104.38902282714844
1722587660327,-104.51665496826172
1722587660393,-104.51665496826172
1722587660461,-104.51665496826172
1722587660529,-103.343017578125
1722587660594,-103.343017578125
1722587660660,-103.343017578125
1722587660728,-103.343017578125
1722587660791,-103.41927337646484
1722587660859,-103.41927337646484
1722587660923,-103.41927337646484
1722587660991,-103.41927337646484
1722587661056,-104.19420623779297
1722587661127,-104.19420623779297
1722587661192,-104.19420623779297
1722587661241,-104.19420623779297
1722587661325,-103.11724090576172
1722587661393,-103.11724090576172
1722587661459,-103.11724090576172
1722587661537,-103.76984405517578
1722587661605,-103.76984405517578
1722587661670,-103.76984405517578
1722587661740,-103.76984405517578
1722587661807,-104.64762115478516
1722587661874,-104.64762115478516
1722587661938,-104.64762115478516
1722587662009,-105.46721649169922
1722587662073,-105.46721649169922
1722587662141,-105.46721649169922
1722587662208,-105.46721649169922
1722587662272,-104.47259521484375
1722587662340,-104.47259521484375
1722587662406,-104.47259521484375
1722587662469,-104.47259521484375
1722587662540,-104.5539779663086
1722587662594,-104.5539779663086
1722587662656,-104.5539779663086
1722587662723,-104.5539779663086
1722587662792,-104.33878326416016
1722587662859,-104.33878326416016
1722587662924,-104.33878326416016
1722587662999,-104.33878326416016
1722587663057,-104.04907989501953
1722587663123,-104.04907989501953
1722587663188,-104.04907989501953
1722587663258,-103.50237274169922
1722587663322,-103.50237274169922
1722587663389,-103.50237274169922
1722587663454,-103.50237274169922
1722587663520,-104.85691833496094
1722587663588,-104.85691833496094
1722587663652,-104.85691833496094
1722587663718,-104.85691833496094
1722587663787,-103.4190673828125
1722587663854,-103.4190673828125
1722587663922,-103.4190673828125
1722587663987,-103.4190673828125
1722587664052,-102.92535400390625
1722587664121,-102.92535400390625
1722587664188,-102.92535400390625
1722587664258,-103.87702178955078
1722587664323,-103.87702178955078
1722587664388,-103.87702178955078
1722587664452,-103.87702178955078
1722587664519,-103.80863189697266
1722587664589,-103.80863189697266
1722587664652,-103.80863189697266
1722587664719,-103.80863189697266
1722587664786,-104.57401275634766
1722587664856,-104.57401275634766
1722587664919,-104.57401275634766
1722587664989,-104.57401275634766
1722587665042,-104.03157806396484
1722587665105,-104.03157806396484
1722587665173,-104.03157806396484
1722587665237,-104.03157806396484
1722587665304,-104.00086212158203
1722587665371,-104.00086212158203
1722587665438,-104.00086212158203
1722587665520,-104.20529174804688
1722587665584,-104.20529174804688
1722587665642,-104.20529174804688
1722587665702,-104.20529174804688
1722587665771,-104.36686706542969
1722587665839,-104.36686706542969
1722587665904,-104.36686706542969
1722587665968,-104.36686706542969
1722587666038,-104.20832824707031
1722587666093,-104.20832824707031
1722587666153,-104.20832824707031
1722587666217,-104.20832824707031
1722587666284,-103.76298522949219
1722587666342,-103.76298522949219
1722587666402,-103.76298522949219
1722587666470,-103.76298522949219
1722587666536,-104.94068908691406
1722587666603,-104.94068908691406
1722587666686,-104.94068908691406
1722587666736,-104.94068908691406
1722587666799,-103.36250305175781
1722587666868,-103.36250305175781
1722587666933,-103.36250305175781
1722587667006,-103.78094482421875
1722587667065,-103.78094482421875
1722587667134,-103.78094482421875
1722587667186,-103.78094482421875
1722587667252,-105.89263916015625
1722587667315,-105.89263916015625
1722587667366,-105.89263916015625
1722587667436,-105.89263916015625
1722587667504,-103.613037109375
1722587667567,-103.613037109375
1722587667633,-103.613037109375
1722587667702,-103.613037109375
1722587667783,-103.9029541015625
1722587667849,-103.9029541015625
1722587667930,-103.9029541015625
1722587667985,-103.68326568603516
1722587668050,-103.68326568603516
1722587668116,-103.68326568603516
1722587668183,-103.68326568603516
1722587668249,-103.12728118896484
1722587668320,-103.12728118896484
1722587668381,-103.12728118896484
