exp_id,node_id,rx_gain,rx_gain_diff,angle_diff,real_diff,angle_diff_std,max_IQ_ampl_ch0,max_IQ_ampl_ch1,rx_ch0_gain
20240909083250,T04,78,41,88.54863754595266,82.89999999999998,0.9610674371292599,0.5336181,1.0000342,37
20240909083250,T04,74,37,90.52526545119129,82.89999999999998,0.99062607140241,0.5330687,1.0000342,37
20240909083250,T04,29,-8,-88.85343572036666,82.89999999999998,0.018230402266066273,0.5352966,0.22605142,37
20240909083250,T04,28,-9,-88.86745694401507,82.89999999999998,0.018819855825050847,0.5357849,0.20166704,37
20240909083250,T04,28,-9,-88.86766316625142,82.89999999999998,0.019023449997396087,0.53514403,0.20139238,37
20240909083250,T04,27,-10,-88.98000544618128,82.89999999999998,0.021464431589184742,0.5352661,0.18164682,37
20240909083250,T04,27,-10,-88.97978196776931,82.89999999999998,0.02107312979973737,0.535907,0.18176891,37
20240909083250,T04,26,-11,-88.9778384178334,82.89999999999998,0.020959803806414937,0.535907,0.16229802,37
20240909083250,T04,26,-11,-88.98471427603157,82.89999999999998,0.020477255695046236,0.5356018,0.16232854,37
20240909083250,T04,25,-12,-88.9850710572056,82.89999999999998,0.021508261317657363,0.53566283,0.14413944,37
20240909083250,T04,25,-12,-88.97948282609815,82.89999999999998,0.021533328054813505,0.5355713,0.1440784,37
20240909083250,T04,24,-13,-89.09394553668895,82.89999999999998,0.16892998680629107,0.53584594,0.13266444,37
20240909083250,T04,73,36,90.98112282799721,82.89999999999998,0.9907016822657089,0.5330382,1.0000342,37
20240909083250,T04,24,-13,-89.04501194433264,82.89999999999998,0.09197998830767372,0.5356323,0.13254237,37
20240909083250,T04,23,-14,-88.98411607288631,82.89999999999998,0.023073450817577168,0.5352356,0.11575713,37
20240909083250,T04,23,-14,-88.98037877228037,82.89999999999998,0.023080183738775,0.53535765,0.115818165,37
20240909083250,T04,22,-15,-88.98399726511114,82.89999999999998,0.02389579464748362,0.53520507,0.10321397,37
20240909083250,T04,22,-15,-88.97844584487551,82.89999999999998,0.024111975061811997,0.5357849,0.10333605,37
20240909083250,T04,21,-16,-88.9758806223136,82.89999999999998,0.02506977523890213,0.5356018,0.09170845,37
20240909083250,T04,21,-16,-88.97817928956631,82.89999999999998,0.02572136266286306,0.5352356,0.0916169,37
20240909083250,T04,20,-17,-88.98032595587053,82.89999999999998,0.025763672661061148,0.5354797,0.08182042,37
20240909083250,T04,20,-17,-88.9750721669611,82.89999999999998,0.025956993211011112,0.53535765,0.08182042,37
20240909083250,T04,19,-18,-87.02627946342095,82.89999999999998,0.03427164739351494,0.53514403,0.07852441,37
20240909083250,T04,73,36,91.08180363464021,82.89999999999998,1.0237511623973898,0.5332519,1.0000342,37
20240909083250,T04,19,-18,-87.02369993989007,82.89999999999998,0.033935485180895585,0.5356323,0.07873804,37
20240909083250,T04,18,-19,-87.01623012198372,82.89999999999998,0.03495210826851819,0.5349304,0.07239017,37
20240909083250,T04,18,-19,-87.0205811642128,82.89999999999998,0.035030780697485255,0.5350525,0.072451204,37
20240909083250,T04,17,-20,-86.37703300095755,82.89999999999998,1.7111858674787546,0.5352356,0.07144409,37
20240909083250,T04,17,-20,-86.28773819128487,82.89999999999998,1.7174953794630803,0.5354187,0.071108386,37
20240909083250,T04,16,-21,-87.00488650461453,82.89999999999998,0.04042801667780797,0.5353882,0.056489967,37
20240909083250,T04,16,-21,-87.01428398952935,82.89999999999998,0.040519062579033746,0.5354187,0.05664256,37
20240909083250,T04,15,-22,-87.01779078274174,82.89999999999998,0.042644608337730476,0.5352356,0.050111573,37
20240909083250,T04,15,-22,-87.01831108303769,82.89999999999998,0.04256406932557461,0.5349609,0.050111573,37
20240909083250,T04,14,-23,-86.47715284709638,82.89999999999998,1.2992671459282905,0.5353882,0.04467926,37
20240909083250,T04,72,35,91.71929011579631,82.89999999999998,1.0320864916548367,0.5335876,1.0000342,37
20240909083250,T04,14,-23,-86.45974972458842,82.89999999999998,1.4421094556495746,0.535083,0.0504778,37
20240909083250,T04,13,-24,-87.00348824051602,82.89999999999998,0.04778756304757322,0.5356018,0.039704725,37
20240909083250,T04,13,-24,-87.00405435883293,82.89999999999998,0.048066268087958705,0.53569335,0.039765764,37
20240909083250,T04,12,-25,-87.00785736368513,82.89999999999998,0.050158578992166636,0.5352966,0.036591824,37
20240909083250,T04,12,-25,-87.00199740778162,82.89999999999998,0.05022258281459005,0.5357544,0.03653079,37
20240909083250,T04,11,-26,-86.60055873712999,82.89999999999998,2.03949933211407,0.5356018,0.031891957,37
20240909083250,T04,11,-26,-86.76998656816114,82.89999999999998,2.0274424603052688,0.53532714,0.03186144,37
20240909083250,T04,10,-27,-87.01467441859084,82.89999999999998,0.06300697010160083,0.53584594,0.02853491,37
20240909083250,T04,10,-27,-87.01898685482135,82.89999999999998,0.06316651035915533,0.5352966,0.028504392,37
20240909083250,T04,9,-28,-87.01215474794347,82.89999999999998,0.06873993612871841,0.5349609,0.025269417,37
20240909083250,T04,72,35,91.66233064803424,82.89999999999998,1.0173733311835278,0.53309923,1.0000342,37
20240909083250,T04,9,-28,-87.01415012035103,82.89999999999998,0.06782795865460695,0.5348693,0.025330454,37
20240909083250,T04,8,-29,-86.66618559772799,82.89999999999998,1.9076112383212407,0.5352661,0.022492222,37
20240909083250,T04,8,-29,-86.62349514400027,82.89999999999998,1.8559102791209579,0.5347167,0.022522742,37
20240909083250,T04,7,-30,-85.45615503347405,82.89999999999998,0.0882721414312421,0.5349304,0.020172808,37
