x, y\\
5.0, -45.618378359164346\\
10.0, -46.09163855319245\\
14.999999999999998, -44.70460776938175\\
20.0, -45.866945700645665\\
25.0, -45.64819511774168\\
29.999999999999996, -47.20045448889577\\
35.0, -46.087501449262255\\
40.0, -49.30680381027237\\
45.0, -49.882699264256736\\
50.0, -51.411041751361246\\
55.0, -47.94437032820944\\
59.99999999999999, -52.020601293247324\\
65.0, -51.53353058945577\\
70.0, -49.90998859441754\\
75.0, -64.18957162481276\\
80.0, -62.852548733977954\\
85.0, -48.893800066029854\\
90.0, -46.4319530935241\\
95.0, -56.267825139385124\\
100.0, -56.26622268667066\\
105.00000000000001, -69.09822485477673\\
110.0, -48.63817136519174\\
115.0, -53.23039368329317\\
119.99999999999999, -59.522421403472336\\
124.99999999999999, -57.05086375107236\\
130.0, -50.468631711821246\\
135.0, -51.07141288768773\\
140.0, -55.66241336535303\\
145.0, -54.36241660229483\\
150.0, -53.505247862663836\\
155.0, -51.642021825944795\\
160.0, -51.80845133315447\\
165.0, -53.124643592294156\\
170.0, -57.214855913746085\\
174.99999999999997, -56.73684793658903\\
5.0, -46.19468342402561\\
10.0, -46.14944102141574\\
14.999999999999998, -45.390539245579824\\
20.0, -46.18505252729441\\
25.0, -48.05855826904937\\
29.999999999999996, -46.504288995789\\
35.0, -48.30122552575706\\
40.0, -49.60285214951029\\
45.0, -46.42498030748237\\
50.0, -46.08373386419839\\
55.0, -49.07834651987648\\
59.99999999999999, -46.90934655078914\\
65.0, -55.60959249625906\\
70.0, -53.79595741337554\\
75.0, -43.62345749302058\\
80.0, -55.19920301635682\\
85.0, -60.12957783913933\\
90.0, -62.98283689141776\\
95.0, -57.944156422115284\\
100.0, -55.19353110339629\\
105.00000000000001, -61.85606628263809\\
110.0, -52.077852212845464\\
115.0, -52.16387654435959\\
119.99999999999999, -54.525999449579686\\
124.99999999999999, -65.24813322427899\\
130.0, -60.54037771433059\\
135.0, -61.65323894960136\\
140.0, -53.104384240974476\\
145.0, -56.3172161814835\\
150.0, -54.310650950155775\\
155.0, -52.642319755726135\\
160.0, -53.31491255357669\\
165.0, -51.62063765905914\\
170.0, -51.15321516866856\\
174.99999999999997, -73.9032022105647\\
5.0, -45.24628925016975\\
10.0, -45.829995081900094\\
14.999999999999998, -44.78474225813275\\
20.0, -45.46888533409841\\
25.0, -46.26447500342515\\
29.999999999999996, -46.12513332060625\\
35.0, -46.04179309356111\\
40.0, -47.85544216379398\\
45.0, -49.318653015950616\\
50.0, -49.42766887831045\\
55.0, -67.63016725022796\\
59.99999999999999, -53.16257429699118\\
65.0, -52.521527983946584\\
70.0, -50.596673567899444\\
75.0, -51.60645360502029\\
80.0, -54.6157207011397\\
85.0, -54.605859899764155\\
90.0, -55.45026472591135\\
95.0, -65.55361650748796\\
100.0, -51.02599539227347\\
105.00000000000001, -58.56055724579278\\
110.0, -61.36895558650073\\
115.0, -52.853588779075864\\
119.99999999999999, -57.56058828355446\\
124.99999999999999, -50.754575362343964\\
130.0, -53.312679322790935\\
135.0, -60.04237245233558\\
140.0, -57.44040770942151\\
145.0, -51.11319684910459\\
150.0, -54.62347156408809\\
155.0, -50.516148444484365\\
160.0, -68.22840323329669\\
165.0, -59.25904247187808\\
170.0, -57.44591715430523\\
174.99999999999997, -54.69181078634833\\
5.0, -45.637472837349506\\
10.0, -46.04168591910123\\
14.999999999999998, -47.12735085460028\\
20.0, -46.59412042567996\\
25.0, -46.17697394877322\\
29.999999999999996, -49.8521945847624\\
35.0, -46.08820225584274\\
40.0, -44.70571240457672\\
45.0, -48.16413618609309\\
50.0, -53.887956535615906\\
55.0, -46.698006478277215\\
59.99999999999999, -50.64307006677349\\
65.0, -53.59050551541863\\
70.0, -47.11353862054019\\
75.0, -49.18818740758845\\
80.0, -50.26332523612018\\
85.0, -66.68959189906889\\
90.0, -50.61178610337895\\
95.0, -53.68115831886573\\
100.0, -56.474681039903714\\
105.00000000000001, -71.50477712743871\\
110.0, -57.19646778450268\\
115.0, -60.62047810398887\\
119.99999999999999, -62.137229012548076\\
124.99999999999999, -62.41029930497426\\
130.0, -52.03024258609865\\
135.0, -64.53053371906934\\
140.0, -55.73525236130317\\
145.0, -50.211995692606585\\
150.0, -51.2214207826286\\
155.0, -55.71323795243462\\
160.0, -55.16468578156267\\
165.0, -68.39873040049113\\
170.0, -61.0177708641957\\
174.99999999999997, -63.608474095143805\\
5.0, -46.24413096922833\\
10.0, -45.294972817332855\\
14.999999999999998, -46.31219998391217\\
20.0, -45.47021670082752\\
25.0, -45.90931161337512\\
29.999999999999996, -48.5490827726113\\
35.0, -46.96237898973336\\
40.0, -46.39569445738721\\
45.0, -47.45394295045705\\
50.0, -46.811603496655685\\
55.0, -47.9528434549802\\
59.99999999999999, -52.356506588838656\\
65.0, -48.444670919235556\\
70.0, -50.6590453698191\\
75.0, -50.168222024949415\\
80.0, -60.11553625103016\\
85.0, -47.303594234119295\\
90.0, -55.58343921449982\\
95.0, -57.549631315966\\
100.0, -57.16510215391434\\
105.00000000000001, -60.38729599948237\\
110.0, -57.572794411382795\\
115.0, -52.17730764347611\\
119.99999999999999, -53.34774261610802\\
124.99999999999999, -60.37829538414714\\
130.0, -67.08306742035602\\
135.0, -52.191144651644954\\
140.0, -57.2972014167853\\
145.0, -54.005563757299555\\
150.0, -51.2291655814292\\
155.0, -51.49512205286038\\
160.0, -58.89811769011025\\
165.0, -61.136253030768614\\
170.0, -70.15014942517237\\
174.99999999999997, -56.25055627057712\\
5.0, -45.96729615381083\\
10.0, -46.87986302642862\\
14.999999999999998, -45.63511345222313\\
20.0, -45.309559425637964\\
25.0, -45.00997796706352\\
29.999999999999996, -47.03264451782873\\
35.0, -47.47483827564019\\
40.0, -47.311122321782534\\
45.0, -45.26207207896303\\
50.0, -50.43673181685122\\
55.0, -46.68477561685718\\
59.99999999999999, -48.75897593453428\\
65.0, -52.272367607221\\
70.0, -52.80306766844817\\
75.0, -53.204912548688284\\
80.0, -48.533606510817116\\
85.0, -54.15736236730466\\
90.0, -56.547593659379\\
95.0, -62.26663044948114\\
100.0, -50.157333920641776\\
105.00000000000001, -49.498955957606974\\
110.0, -57.44921460013245\\
115.0, -56.72154588919746\\
119.99999999999999, -55.5805559485081\\
124.99999999999999, -69.15747222156875\\
130.0, -55.18130443072249\\
135.0, -56.66354328865406\\
140.0, -58.16314399690881\\
145.0, -54.05020560659529\\
150.0, -54.116398091360054\\
155.0, -59.695209255291886\\
160.0, -60.42875710092983\\
165.0, -50.869384508436475\\
170.0, -47.501253563689126\\
174.99999999999997, -53.20005500248129\\
5.0, -45.61491610692577\\
10.0, -46.90544423230562\\
14.999999999999998, -45.27800926887952\\
20.0, -45.67983031688905\\
25.0, -46.87330170934783\\
29.999999999999996, -46.900005106885025\\
35.0, -46.76156460714411\\
40.0, -47.060912353705966\\
45.0, -48.4656699589124\\
50.0, -46.99853985900923\\
55.0, -47.54733229666403\\
59.99999999999999, -47.91738342634939\\
65.0, -51.15284506765747\\
70.0, -51.980102662435755\\
75.0, -58.935231959994226\\
80.0, -55.63957395442306\\
85.0, -59.23268827173175\\
90.0, -57.43697132356486\\
95.0, -46.86932784676828\\
100.0, -57.454169551394756\\
105.00000000000001, -50.890829277851935\\
110.0, -52.26984572482324\\
115.0, -54.649097764352554\\
119.99999999999999, -62.80015823425525\\
124.99999999999999, -56.58280846582332\\
130.0, -66.42679491215794\\
135.0, -56.730478235677346\\
140.0, -54.15395492043516\\
145.0, -56.40084418680534\\
150.0, -63.87714583456369\\
155.0, -58.93301489223841\\
160.0, -70.43944112645119\\
165.0, -64.04688933672577\\
170.0, -60.75912068579407\\
174.99999999999997, -53.93304213277638\\
5.0, -45.86698839754813\\
10.0, -46.087958088264884\\
14.999999999999998, -45.977059264656916\\
20.0, -46.01895071349012\\
25.0, -45.7544922274085\\
29.999999999999996, -45.67173547418952\\
35.0, -50.90174484480616\\
40.0, -47.4024083521071\\
45.0, -50.185739382319206\\
50.0, -47.36822009362875\\
55.0, -52.41464302312452\\
59.99999999999999, -53.33425910117782\\
65.0, -50.17913900451489\\
70.0, -48.34627013412521\\
75.0, -47.42543244885301\\
80.0, -54.28622625173346\\
85.0, -48.36238145491934\\
90.0, -55.169722520439386\\
95.0, -58.57017913528644\\
100.0, -50.62227859440053\\
105.00000000000001, -64.49982446886547\\
110.0, -55.18851489417462\\
115.0, -60.6551672367584\\
119.99999999999999, -47.60740900395846\\
124.99999999999999, -61.53694448257618\\
130.0, -52.46775448381815\\
135.0, -60.46881378207925\\
140.0, -49.91904177391166\\
145.0, -65.5981588307773\\
150.0, -64.65422552281697\\
155.0, -54.86984272817537\\
160.0, -53.98327797657332\\
165.0, -65.4567267097409\\
170.0, -62.54380224653541\\
174.99999999999997, -67.27951675101845\\
5.0, -45.75142549080511\\
10.0, -45.85467227544177\\
14.999999999999998, -46.819291081900005\\
