x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,14:25:53,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.838649429275087,1646,703125,3853
1.0,2.0,3.0,14:25:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.418496065364835,852,1000000,739
1.0,2.0,3.0,14:25:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.329861968886874,852,1000000,739
1.0,2.0,3.0,14:25:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.31298768075319,845,1000000,724
1.0,2.0,3.0,14:25:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.446260368963223,927,1000000,855
1.0,2.0,3.0,14:25:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.898623715111448,930,1000000,874
1.0,2.0,3.0,14:25:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.64556387620962,930,1000000,874
1.0,2.0,3.0,14:26:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.577683367776178,1561,441406,5499
1.0,2.0,3.0,14:26:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.012418081577042,1557,437500,5534
1.0,2.0,3.0,14:26:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.127823750148764,1341,1000000,1800
1.0,2.0,3.0,14:26:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.38227523097846,1341,1000000,1800
1.0,2.0,3.0,14:26:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.252778020027904,559,1000000,312
1.0,2.0,3.0,14:26:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.417210995272413,1344,1000000,1809
1.0,2.0,3.0,14:26:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.47711279978234,1344,1000000,1809
1.0,2.0,3.0,14:26:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.32336330877213,395,1000000,164
1.0,2.0,3.0,14:26:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-29.390375546397237,967,1000000,927
1.0,2.0,3.0,14:26:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.52816634931611,967,1000000,927
1.0,2.0,3.0,14:26:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.64455593265904,1647,812500,3338
1.0,2.0,3.0,14:26:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-15.828450975136256,1642,281250,9551
1.0,2.0,3.0,14:26:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-26.67222751882558,1642,281250,9551
1.0,2.0,3.0,14:26:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.175427195706796,1555,800781,3011
1.0,2.0,3.0,14:26:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.85381010744578,390,1000000,156
1.0,2.0,3.0,14:26:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.06562002203079,390,1000000,156
1.0,2.0,3.0,14:26:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.043716753083793,321,1000000,100
1.0,2.0,3.0,14:26:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.947865482609394,1644,753906,3593
1.0,2.0,3.0,14:26:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.348291147587897,1644,753906,3593
1.0,2.0,3.0,14:26:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.982683757670152,1498,898437,2494
1.0,2.0,3.0,14:26:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.55314755829835,1394,1000000,1954
1.0,2.0,3.0,14:26:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.526124707101822,1394,1000000,1954
