timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719315.5953314,1.0,2.0,3.0,16:01:54,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,49,1000000,2
1718719315.784828,1.0,2.0,3.0,16:01:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,49,1000000,2
1718719316.2995572,1.0,2.0,3.0,16:01:55,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,759,1000000,574
1718719316.8109853,1.0,2.0,3.0,16:01:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,759,1000000,574
1718719317.32101,1.0,2.0,3.0,16:01:56,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,759,1000000,574
1718719317.8360536,1.0,2.0,3.0,16:01:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,771,1000000,594
1718719318.340644,1.0,2.0,3.0,16:01:57,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,771,1000000,594
1718719318.845491,1.0,2.0,3.0,16:01:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,771,1000000,594
1718719319.3489568,1.0,2.0,3.0,16:01:58,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,739,1000000,543
1718719319.8514268,1.0,2.0,3.0,16:01:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,739,1000000,543
1718719320.394958,1.0,2.0,3.0,16:01:59,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,739,1000000,543
1718719320.8999934,1.0,2.0,3.0,16:02:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,735,1000000,531
1718719321.4213207,1.0,2.0,3.0,16:02:00,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,735,1000000,531
1718719321.9206336,1.0,2.0,3.0,16:02:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,735,1000000,531
1718719322.4395337,1.0,2.0,3.0,16:02:01,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,770,1000000,592
1718719322.9347012,1.0,2.0,3.0,16:02:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,776,1000000,600
1718719323.4348934,1.0,2.0,3.0,16:02:02,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,776,1000000,600
1718719323.9499135,1.0,2.0,3.0,16:02:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,776,1000000,600
1718719324.487546,1.0,2.0,3.0,16:02:03,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,741,1000000,556
1718719324.9942768,1.0,2.0,3.0,16:02:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,741,1000000,556
1718719325.4982896,1.0,2.0,3.0,16:02:04,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,741,1000000,556
1718719326.0140655,1.0,2.0,3.0,16:02:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1267,1000000,1602
1718719326.528144,1.0,2.0,3.0,16:02:05,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1267,1000000,1602
1718719327.0409307,1.0,2.0,3.0,16:02:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1267,1000000,1602
1718719327.5269458,1.0,2.0,3.0,16:02:06,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1310,1000000,1716
1718719328.0248387,1.0,2.0,3.0,16:02:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1310,1000000,1716
1718719328.5242085,1.0,2.0,3.0,16:02:07,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1310,1000000,1716
1718719329.032653,1.0,2.0,3.0,16:02:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1330,1000000,1763
1718719329.5405507,1.0,2.0,3.0,16:02:08,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1330,1000000,1763
1718719330.0508597,1.0,2.0,3.0,16:02:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1330,1000000,1763
1718719330.5648015,1.0,2.0,3.0,16:02:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1271,1000000,1617
1718719331.0674026,1.0,2.0,3.0,16:02:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1271,1000000,1617
1718719331.5624838,1.0,2.0,3.0,16:02:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1271,1000000,1617
1718719332.0725563,1.0,2.0,3.0,16:02:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1292,1000000,1669
1718719332.5727632,1.0,2.0,3.0,16:02:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1292,1000000,1669
1718719333.0715415,1.0,2.0,3.0,16:02:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1292,1000000,1669
1718719333.5751026,1.0,2.0,3.0,16:02:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1301,1000000,1695
1718719334.0909991,1.0,2.0,3.0,16:02:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1301,1000000,1695
1718719334.584509,1.0,2.0,3.0,16:02:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1301,1000000,1695
1718719335.095756,1.0,2.0,3.0,16:02:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1280,1000000,1640
1718719335.6066332,1.0,2.0,3.0,16:02:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1280,1000000,1640
1718719336.1062098,1.0,2.0,3.0,16:02:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1280,1000000,1640
1718719336.6339152,1.0,2.0,3.0,16:02:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1142,1000000,1306
1718719337.131208,1.0,2.0,3.0,16:02:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1142,1000000,1306
1718719337.6406448,1.0,2.0,3.0,16:02:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1142,1000000,1306
1718719338.1428235,1.0,2.0,3.0,16:02:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1127,1000000,1267
1718719338.6536229,1.0,2.0,3.0,16:02:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1127,1000000,1267
1718719339.1369543,1.0,2.0,3.0,16:02:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1116,1000000,1238
1718719339.6509013,1.0,2.0,3.0,16:02:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1144,1000000,1311
1718719340.1634521,1.0,2.0,3.0,16:02:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1113,1000000,1238
1718719340.6760812,1.0,2.0,3.0,16:02:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1113,1000000,1238
1718719341.2024033,1.0,2.0,3.0,16:02:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1113,1000000,1238
1718719341.688582,1.0,2.0,3.0,16:02:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1148,1000000,1311
1718719342.196564,1.0,2.0,3.0,16:02:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1148,1000000,1311
1718719342.706465,1.0,2.0,3.0,16:02:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1148,1000000,1311
1718719343.1966255,1.0,2.0,3.0,16:02:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1148,1000000,1311
1718719343.706888,1.0,2.0,3.0,16:02:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1148,1000000,1311
1718719344.208424,1.0,2.0,3.0,16:02:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1148,1000000,1311
1718719344.7040634,1.0,2.0,3.0,16:02:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1142,1000000,1313
1718719345.2195365,1.0,2.0,3.0,16:02:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1142,1000000,1313
1718719345.7451267,1.0,2.0,3.0,16:02:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,1142,1000000,1313
1718719346.2683141,1.0,2.0,3.0,16:02:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,67,1000000,4
1718719346.7909896,1.0,2.0,3.0,16:02:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,67,1000000,4
1718719347.297829,1.0,2.0,3.0,16:02:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,67,1000000,4
1718719347.820562,1.0,2.0,3.0,16:02:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719348.324556,1.0,2.0,3.0,16:02:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719348.8324585,1.0,2.0,3.0,16:02:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719349.3383486,1.0,2.0,3.0,16:02:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719349.8568957,1.0,2.0,3.0,16:02:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719350.384616,1.0,2.0,3.0,16:02:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719350.887788,1.0,2.0,3.0,16:02:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719351.4109263,1.0,2.0,3.0,16:02:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719351.9138029,1.0,2.0,3.0,16:02:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,66,1000000,4
1718719352.4165924,1.0,2.0,3.0,16:02:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,63,1000000,3
1718719352.9331295,1.0,2.0,3.0,16:02:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,63,1000000,3
1718719353.4504352,1.0,2.0,3.0,16:02:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,63,1000000,3
1718719353.9683459,1.0,2.0,3.0,16:02:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,63,1000000,4
1718719354.468095,1.0,2.0,3.0,16:02:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,63,1000000,4
1718719354.9857688,1.0,2.0,3.0,16:02:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,62,1000000,3
1718719355.4859934,1.0,2.0,3.0,16:02:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,63,1000000,3
1718719355.9996593,1.0,2.0,3.0,16:02:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,63,1000000,3
1718719356.5004747,1.0,2.0,3.0,16:02:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,749,1000000,558
1718719357.016077,1.0,2.0,3.0,16:02:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,749,1000000,558
1718719357.5327053,1.0,2.0,3.0,16:02:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,749,1000000,558
1718719358.0438974,1.0,2.0,3.0,16:02:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,752,1000000,565
1718719358.5466948,1.0,2.0,3.0,16:02:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,744,1000000,558
1718719359.0587661,1.0,2.0,3.0,16:02:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,744,1000000,558
1718719359.5713003,1.0,2.0,3.0,16:02:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,758,1000000,574
1718719360.0855978,1.0,2.0,3.0,16:02:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-100,745,1000000,558
