timestamp,x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1718719812.2441003,1.0,2.0,3.0,16:10:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.133578919562154,1621,570312,4584
1718719812.8478165,1.0,2.0,3.0,16:10:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.09373718649987,1621,570312,4584
1718719813.382187,1.0,2.0,3.0,16:10:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.96545602338406,1623,570312,4618
1718719813.9798374,1.0,2.0,3.0,16:10:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.184898974668712,1624,570312,4596
1718719814.5658765,1.0,2.0,3.0,16:10:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.079048132768573,1624,570312,4596
1718719815.1297092,1.0,2.0,3.0,16:10:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.475196185361227,1616,570312,4578
1718719815.739963,1.0,2.0,3.0,16:10:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.40275839594289,1616,570312,4578
1718719816.335309,1.0,2.0,3.0,16:10:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.45548043913644,1635,324218,8255
1718719816.9132464,1.0,2.0,3.0,16:10:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.407284275949262,1635,324218,8255
1718719817.5203202,1.0,2.0,3.0,16:10:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.389505906043947,1638,324218,8285
1718719818.1260803,1.0,2.0,3.0,16:10:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.391396948403862,1633,324218,8255
1718719818.739546,1.0,2.0,3.0,16:10:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.478855467210618,1633,324218,8255
1718719819.3393168,1.0,2.0,3.0,16:10:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.429300066625522,1639,324218,8285
1718719819.9483142,1.0,2.0,3.0,16:10:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.383914443516407,1639,324218,8285
1718719820.5735066,1.0,2.0,3.0,16:10:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.42922517232288,1634,324218,8235
1718719821.1926687,1.0,2.0,3.0,16:10:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.38650424493171,1640,324218,8265
1718719821.7828825,1.0,2.0,3.0,16:10:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.384749221176953,1640,324218,8265
1718719822.3983536,1.0,2.0,3.0,16:10:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.382018196391982,1638,324218,8275
1718719823.0223408,1.0,2.0,3.0,16:10:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.377242688233906,1638,324218,8275
1718719823.634134,1.0,2.0,3.0,16:10:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.391443647774043,1637,324218,8265
1718719824.2217116,1.0,2.0,3.0,16:10:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.32729787819264,1637,324218,8265
1718719824.8125188,1.0,2.0,3.0,16:10:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.415356200813225,1637,324218,8265
1718719825.3369615,1.0,2.0,3.0,16:10:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.998769841482826,267,402343,149
1718719825.889367,1.0,2.0,3.0,16:10:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.741351002525462,267,402343,149
1718719826.4796429,1.0,2.0,3.0,16:10:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.956976458458044,454,1000000,208
1718719827.0001924,1.0,2.0,3.0,16:10:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.041049157106656,456,1000000,211
1718719827.533851,1.0,2.0,3.0,16:10:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.9947030488565,456,1000000,211
1718719828.0777938,1.0,2.0,3.0,16:10:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.032534411907392,458,1000000,206
1718719828.596572,1.0,2.0,3.0,16:10:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.930876940995624,458,1000000,206
1718719829.1091874,1.0,2.0,3.0,16:10:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.031146174787104,458,1000000,206
1718719829.6320803,1.0,2.0,3.0,16:10:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.154453485721874,413,1000000,168
1718719830.1536684,1.0,2.0,3.0,16:10:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.145823113160787,413,1000000,168
1718719830.6852932,1.0,2.0,3.0,16:10:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.03887836078959,413,1000000,168
1718719831.2438612,1.0,2.0,3.0,16:10:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.245647764753997,441,1000000,188
1718719831.7633085,1.0,2.0,3.0,16:10:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.19756233695304,441,1000000,188
1718719832.2850568,1.0,2.0,3.0,16:10:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.222337658835464,441,1000000,188
1718719832.8236208,1.0,2.0,3.0,16:10:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-24.0716171417645,448,1000000,200
