x,y,z,utc,dbm,buffer_voltage_mv,resistance,pwr_nw
1.0,2.0,3.0,15:30:09,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-14.616733207400948,50,1000000,2
1.0,2.0,3.0,15:30:10,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-14.612506809813304,50,1000000,2
1.0,2.0,3.0,15:30:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-14.72192178784152,1213,1000000,1464
1.0,2.0,3.0,15:30:11,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.353461056017757,1213,1000000,1476
1.0,2.0,3.0,15:30:12,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.397371713820313,1213,1000000,1476
1.0,2.0,3.0,15:30:13,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-25.35220482943992,1628,250000,10601
1.0,2.0,3.0,15:30:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.17040665104524,606,1000000,364
1.0,2.0,3.0,15:30:14,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.153011057298997,607,1000000,369
1.0,2.0,3.0,15:30:15,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.85702554928917,600,1000000,367
1.0,2.0,3.0,15:30:16,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.814690576595318,1633,222656,12050
1.0,2.0,3.0,15:30:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.762449015585734,1633,222656,12050
1.0,2.0,3.0,15:30:17,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.265784663498103,1555,488281,4926
1.0,2.0,3.0,15:30:18,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.323212720415547,1555,488281,4926
1.0,2.0,3.0,15:30:19,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.06267284975918,1772,253906,12478
1.0,2.0,3.0,15:30:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.00305850326245,1772,253906,12478
1.0,2.0,3.0,15:30:20,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.04257035777342,1636,207031,12959
1.0,2.0,3.0,15:30:21,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.588182140823925,1634,207031,12864
1.0,2.0,3.0,15:30:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.609341958878794,1634,207031,12864
1.0,2.0,3.0,15:30:22,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.621106405025948,53,1000000,2
1.0,2.0,3.0,15:30:23,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.732249022849963,53,1000000,2
1.0,2.0,3.0,15:30:24,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.78811709788226,53,1000000,2
1.0,2.0,3.0,15:30:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-20.784407126554424,53,1000000,2
1.0,2.0,3.0,15:30:25,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-34.801375195647346,1314,1000000,1713
1.0,2.0,3.0,15:30:26,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-34.9176405053078,1623,183593,14418
1.0,2.0,3.0,15:30:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-34.926944817598965,1623,183593,14418
1.0,2.0,3.0,15:30:27,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.76653574533129,1565,210937,11626
1.0,2.0,3.0,15:30:28,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.750616171752498,1565,210937,11626
1.0,2.0,3.0,15:30:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-27.79509274366915,1567,210937,11611
1.0,2.0,3.0,15:30:29,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.67903747710847,1567,210937,11611
1.0,2.0,3.0,15:30:30,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-32.82623589550914,1567,210937,11611
1.0,2.0,3.0,15:30:31,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.112764480720575,629,1000000,393
1.0,2.0,3.0,15:30:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.199055835874777,1179,1000000,1404
1.0,2.0,3.0,15:30:32,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.17715509599255,1176,1000000,1382
1.0,2.0,3.0,15:30:33,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.545181881307606,1182,1000000,1378
1.0,2.0,3.0,15:30:34,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.580065524734763,850,1000000,697
1.0,2.0,3.0,15:30:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-22.5694804766652,850,1000000,697
1.0,2.0,3.0,15:30:35,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.334886941758583,855,1000000,719
1.0,2.0,3.0,15:30:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.251207538875704,855,1000000,719
1.0,2.0,3.0,15:30:36,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.228666006352363,855,1000000,719
1.0,2.0,3.0,15:30:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-28.209804369293344,1641,500000,5392
1.0,2.0,3.0,15:30:37,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.03654828088628,1140,1000000,1301
1.0,2.0,3.0,15:30:38,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.02815933779465,1140,1000000,1299
1.0,2.0,3.0,15:30:39,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.040756548537026,1140,1000000,1299
1.0,2.0,3.0,15:30:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.08790982905747,1404,1000000,1962
1.0,2.0,3.0,15:30:40,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.10242458107183,1404,1000000,1962
1.0,2.0,3.0,15:30:41,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.425743656938167,1393,1000000,1960
1.0,2.0,3.0,15:30:42,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-18.427864229754178,1393,1000000,1960
1.0,2.0,3.0,15:30:43,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-19.320465413331974,1643,335937,8016
1.0,2.0,3.0,15:30:44,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-17.07774729960075,1280,882812,1838
1.0,2.0,3.0,15:30:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-16.99490334888203,1311,1000000,1731
1.0,2.0,3.0,15:30:45,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.24442983270019,1642,828125,3251
1.0,2.0,3.0,15:30:46,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.25173155101622,1642,828125,3251
1.0,2.0,3.0,15:30:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-30.155479912371625,1644,824218,3279
1.0,2.0,3.0,15:30:47,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.167250169169712,1644,824218,3279
1.0,2.0,3.0,15:30:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.19939189816597,1646,824218,3279
1.0,2.0,3.0,15:30:48,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-23.211819652305074,711,1000000,505
1.0,2.0,3.0,15:30:49,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.713114934519936,832,1000000,692
1.0,2.0,3.0,15:30:50,"[-0.1, -0.2, 0.3, 0.4, -0.5, -0.6, 0.7, 0.8, 0.9]",-21.85656095624502,832,1000000,692
